shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Pyra,Pikachu,Dash Attack,Pikachu Dash Attack,-11,11,11,2,5,3,1,12,Shield Grab,Up Smash,Neutral B,Dair/Dtilt,Shield Grab,Dair/Dtilt,Neutral B,Up Smash,A,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Pyra,Pikachu,F Smash,Pikachu F Smash,-29,29,28,11,2,4,9,12,Dash Attack,Dair/Dtilt,Nair/Fair/Jab,Ftilt/Down Smash,Dash Attack,Nair/Fair/Jab,Dair/Dtilt,Ftilt/Down Smash,A,Move is -29 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Pikachu,Up Smash,Pikachu Up Smash,-24,24,24,8,1,11,3,12,Neutral B,Dair/Dtilt,Shield Grab,Side B,Neutral B,Shield Grab,Side B,Dair/Dtilt,A,Move is -24 on shield. Neutral B comes out on frame 24.,1.1
Pyra,Pikachu,Down Smash,Pikachu Down Smash,-39,39,31,12,7,1,4,12,F Smash,Ftilt/Down Smash,Dair/Dtilt,Up Smash,Up Smash,Ftilt/Down Smash,Dair/Dtilt,F Smash,D,Move is -39 on shield. F Smash comes out on frame 31.,1.1
Pyra,Pikachu,Up B,Pikachu Up B,-33,33,31,12,10,8,1,12,F Smash,No Guaranteed Punish,Dair/Dtilt,Up Tilt (Last Frame),Dair/Dtilt,F Smash,No Guaranteed Punish,Up Tilt (Last Frame),B,Move is -33 on shield. F Smash comes out on frame 31.,1.1
Pyra,Pikachu,Down B,Pikachu Down B,-26,26,25,9,1,7,2,12,Side B,Dair/Dtilt,Up B,Up Tilt (Last Frame),Dair/Dtilt,Side B,Up B,Up Tilt (Last Frame),B,Move is -26 on shield. Side B comes out on frame 25.,1.1
Pyra,Luigi,Jab (3rd Hit),Luigi Jab (3rd Hit),-19,19,15,5,12,10,2,12,Up Smash,Nair/Fair/Jab,F Smash,Up Tilt (Last Frame),Up Smash,Nair/Fair/Jab,F Smash,Up Tilt (Last Frame),A,Move is -19 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Luigi,Ftilt,Luigi Ftilt,-18,18,15,5,8,9,10,12,Up Smash,Up Tilt (Last Frame),Side B,Nair/Fair/Jab,Up Smash,Nair/Fair/Jab,Side B,Up Tilt (Last Frame),A,Move is -18 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Luigi,Up Tilt,Luigi Up Tilt,-15,15,15,5,8,9,10,12,Up Smash,Dash Attack,Side B,Up Tilt (Last Frame),Up Smash,Dash Attack,Side B,Up Tilt (Last Frame),A,Move is -15 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Luigi,Down Tilt,Luigi Down Tilt,-2,2,0,1,8,6,5,12,No Guaranteed Punish,F Smash,Ftilt/Down Smash,Up Tilt (Last Frame),No Guaranteed Punish,Ftilt/Down Smash,F Smash,Up Tilt (Last Frame),A,Move is -2 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Luigi,Dash Attack,Luigi Dash Attack,-17,17,15,5,7,6,3,12,Up Smash,Nair/Fair/Jab,Ftilt/Down Smash,Dash Attack,Up Smash,Dash Attack,Ftilt/Down Smash,Nair/Fair/Jab,A,Move is -17 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Luigi,F Smash,Luigi F Smash,-18,18,15,5,2,6,1,12,Up Smash,Up B,Shield Grab,No Guaranteed Punish,No Guaranteed Punish,Shield Grab,Up B,Up Smash,D,Move is -18 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Luigi,Up Smash,Luigi Up Smash,-20,20,20,6,7,2,1,12,Dair/Dtilt,F Smash,Up Tilt (Last Frame),Dash Attack,F Smash,Up Tilt (Last Frame),Dash Attack,Dair/Dtilt,D,Move is -20 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Luigi,Down Smash (Close Hit),Luigi Down Smash (Close Hit),-20,20,20,6,7,9,8,12,Dair/Dtilt,Dash Attack,Nair/Fair/Jab,Neutral B,Dash Attack,Nair/Fair/Jab,Dair/Dtilt,Neutral B,C,Move is -20 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Luigi,Down Smash (Far Hit),Luigi Down Smash (Far Hit),-12,12,11,2,9,11,12,12,Shield Grab,Dair/Dtilt,F Smash,Side B,F Smash,Shield Grab,Side B,Dair/Dtilt,B,Move is -12 on shield. Shield Grab comes out on frame 11.,1.1
Pyra,Luigi,Down B,Luigi Down B,-40,40,31,12,3,6,1,12,F Smash,Side B,Up Tilt (Last Frame),Up Smash,Up Smash,Side B,Up Tilt (Last Frame),F Smash,D,Move is -40 on shield. F Smash comes out on frame 31.,1.1
Pyra,Ness,Jab (3rd Hit),Ness Jab (3rd Hit),-18,18,15,5,10,7,11,12,Up Smash,Nair/Fair/Jab,Dash Attack,Neutral B,Nair/Fair/Jab,Dash Attack,Up Smash,Neutral B,C,Move is -18 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Ness,Ftilt,Ness Ftilt,-17,17,15,5,2,12,6,12,Up Smash,No Guaranteed Punish,Nair/Fair/Jab,Ftilt/Down Smash,Up Smash,Ftilt/Down Smash,No Guaranteed Punish,Nair/Fair/Jab,A,Move is -17 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Ness,Up Tilt (Close Hit),Ness Up Tilt (Close Hit),-14,14,14,4,10,1,5,12,Nair/Fair/Jab,Dash Attack,Side B,No Guaranteed Punish,Side B,Nair/Fair/Jab,No Guaranteed Punish,Dash Attack,B,Move is -14 on shield. Nair/Fair/Jab comes out on frame 14.,1.1
Pyra,Ness,Down Tilt (Close Hit),Ness Down Tilt (Close Hit),-4,4,0,1,9,11,2,12,No Guaranteed Punish,Ftilt/Down Smash,F Smash,Neutral B,F Smash,No Guaranteed Punish,Ftilt/Down Smash,Neutral B,B,Move is -4 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Ness,Down Tilt (Far Hit),Ness Down Tilt (Far Hit),-3,3,0,1,11,12,8,12,No Guaranteed Punish,Dash Attack,F Smash,Ftilt/Down Smash,F Smash,Ftilt/Down Smash,Dash Attack,No Guaranteed Punish,D,Move is -3 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Ness,Dash Attack,Ness Dash Attack,-10,10,0,1,6,9,4,12,No Guaranteed Punish,Shield Grab,Side B,Ftilt/Down Smash,Shield Grab,Side B,No Guaranteed Punish,Ftilt/Down Smash,C,Move is -10 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Ness,F Smash (Close Hit),Ness F Smash (Close Hit),-21,21,20,6,1,8,2,12,Dair/Dtilt,Neutral B,F Smash,Shield Grab,Shield Grab,Neutral B,Dair/Dtilt,F Smash,C,Move is -21 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Ness,F Smash (Middle Hit),Ness F Smash (Middle Hit),-20,20,20,6,2,1,7,12,Dair/Dtilt,Dash Attack,No Guaranteed Punish,Neutral B,No Guaranteed Punish,Dash Attack,Dair/Dtilt,Neutral B,C,Move is -20 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Ness,F Smash (Far Hit),Ness F Smash (Far Hit),-19,19,15,5,8,1,6,12,Up Smash,Dash Attack,Up B,F Smash,Dash Attack,F Smash,Up Smash,Up B,C,Move is -19 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Ness,Up Smash,Ness Up Smash,-33,33,31,12,7,1,6,12,F Smash,Up Tilt (Last Frame),Shield Grab,Ftilt/Down Smash,Ftilt/Down Smash,F Smash,Up Tilt (Last Frame),Shield Grab,B,Move is -33 on shield. F Smash comes out on frame 31.,1.1
Pyra,Ness,Down Smash (Weak Hit),Ness Down Smash (Weak Hit),-21,21,20,6,2,4,7,12,Dair/Dtilt,Nair/Fair/Jab,Neutral B,Shield Grab,Shield Grab,Dair/Dtilt,Neutral B,Nair/Fair/Jab,B,Move is -21 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Ness,Down Smash (Strong Hit),Ness Down Smash (Strong Hit),-7,7,0,1,12,8,10,12,No Guaranteed Punish,Up B,Side B,Nair/Fair/Jab,Nair/Fair/Jab,Side B,No Guaranteed Punish,Up B,C,Move is -7 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Ness,Side B,Ness Side B,-28,28,28,11,8,6,2,12,Dash Attack,Up Tilt (Last Frame),Side B,No Guaranteed Punish,Side B,Dash Attack,No Guaranteed Punish,Up Tilt (Last Frame),B,Move is -28 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Ness,Up B (Self Hit),Ness Up B (Self Hit),-33,33,31,12,5,6,8,12,F Smash,Up B,Ftilt/Down Smash,Nair/Fair/Jab,F Smash,Up B,Nair/Fair/Jab,Ftilt/Down Smash,A,Move is -33 on shield. F Smash comes out on frame 31.,1.1
Pyra,Ness,Down B,Ness Down B,-12,12,11,2,1,3,9,12,Shield Grab,F Smash,Dair/Dtilt,Up Smash,Dair/Dtilt,Shield Grab,F Smash,Up Smash,B,Move is -12 on shield. Shield Grab comes out on frame 11.,1.1
Pyra,Captain Falcon,Jab (3rd Hit),Captain Falcon Jab (3rd Hit),-20,20,20,6,8,11,7,12,Dair/Dtilt,Shield Grab,Up Smash,Ftilt/Down Smash,Shield Grab,Dair/Dtilt,Up Smash,Ftilt/Down Smash,B,Move is -20 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Captain Falcon,Jab (Rapid Jab Finisher),Captain Falcon Jab (Rapid Jab Finisher),-39,39,31,12,2,6,8,12,F Smash,Up Tilt (Last Frame),Dair/Dtilt,Nair/Fair/Jab,Nair/Fair/Jab,Up Tilt (Last Frame),Dair/Dtilt,F Smash,D,Move is -39 on shield. F Smash comes out on frame 31.,1.1
Pyra,Captain Falcon,Ftilt (Close Hit),Captain Falcon Ftilt (Close Hit),-14,14,14,4,10,8,12,12,Nair/Fair/Jab,Dair/Dtilt,Shield Grab,Up B,Nair/Fair/Jab,Up B,Dair/Dtilt,Shield Grab,A,Move is -14 on shield. Nair/Fair/Jab comes out on frame 14.,1.1
Pyra,Captain Falcon,Ftilt (Far Hit),Captain Falcon Ftilt (Far Hit),-13,13,13,3,12,11,8,12,Up B,F Smash,Ftilt/Down Smash,Dash Attack,Up B,F Smash,Dash Attack,Ftilt/Down Smash,A,Move is -13 on shield. Up B comes out on frame 13.,1.1
Pyra,Captain Falcon,Up Tilt,Captain Falcon Up Tilt,-11,11,11,2,8,11,5,12,Shield Grab,Up Smash,Neutral B,Side B,Up Smash,Side B,Shield Grab,Neutral B,C,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Pyra,Captain Falcon,Down Tilt,Captain Falcon Down Tilt,-13,13,13,3,1,5,7,12,Up B,Shield Grab,No Guaranteed Punish,Ftilt/Down Smash,Up B,No Guaranteed Punish,Shield Grab,Ftilt/Down Smash,A,Move is -13 on shield. Up B comes out on frame 13.,1.1
Pyra,Captain Falcon,Dash Attack,Captain Falcon Dash Attack,-13,13,13,3,9,5,4,12,Up B,Side B,F Smash,Dair/Dtilt,Side B,Up B,F Smash,Dair/Dtilt,B,Move is -13 on shield. Up B comes out on frame 13.,1.1
Pyra,Captain Falcon,F Smash,Captain Falcon F Smash,-27,27,27,10,7,6,12,12,Up Tilt (Last Frame),Dair/Dtilt,Up Smash,Side B,Up Smash,Dair/Dtilt,Up Tilt (Last Frame),Side B,C,Move is -27 on shield. Up Tilt (Last Frame) comes out on frame 27.,1.1
Pyra,Captain Falcon,Up Smash (1st Hit),Captain Falcon Up Smash (1st Hit),-17,17,15,5,1,3,6,12,Up Smash,Nair/Fair/Jab,Up B,Shield Grab,Up Smash,Nair/Fair/Jab,Up B,Shield Grab,A,Move is -17 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Captain Falcon,Up Smash,Captain Falcon Up Smash,-7,7,0,1,11,7,12,12,No Guaranteed Punish,Up B,F Smash,Shield Grab,Up B,F Smash,Shield Grab,No Guaranteed Punish,D,Move is -7 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Captain Falcon,Down Smash (1st Hit),Captain Falcon Down Smash (1st Hit),-19,19,15,5,12,9,8,12,Up Smash,Nair/Fair/Jab,Neutral B,Up Tilt (Last Frame),Up Smash,Neutral B,Nair/Fair/Jab,Up Tilt (Last Frame),A,Move is -19 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Captain Falcon,Down Smash (2nd Hit),Captain Falcon Down Smash (2nd Hit),-7,7,0,1,8,2,5,12,No Guaranteed Punish,Ftilt/Down Smash,Up Smash,Neutral B,Neutral B,No Guaranteed Punish,Ftilt/Down Smash,Up Smash,B,Move is -7 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Captain Falcon,Neutral B (Ground),Captain Falcon Neutral B (Ground),-28,28,28,11,7,3,6,12,Dash Attack,Ftilt/Down Smash,Neutral B,Side B,Side B,Neutral B,Ftilt/Down Smash,Dash Attack,D,Move is -28 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Captain Falcon,Neutral B (Air),Captain Falcon Neutral B (Air),-30,30,28,11,5,4,7,12,Dash Attack,Nair/Fair/Jab,F Smash,Ftilt/Down Smash,Nair/Fair/Jab,F Smash,Dash Attack,Ftilt/Down Smash,C,Move is -30 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Captain Falcon,Side B (Ground),Captain Falcon Side B (Ground),-12,12,11,2,3,12,10,12,Shield Grab,Up Tilt (Last Frame),Dash Attack,Side B,Dash Attack,Side B,Shield Grab,Up Tilt (Last Frame),C,Move is -12 on shield. Shield Grab comes out on frame 11.,1.1
Pyra,Captain Falcon,Down B (Ground Middle Hit),Captain Falcon Down B (Ground Middle Hit),-40,40,31,12,2,7,1,12,F Smash,Shield Grab,No Guaranteed Punish,Up Tilt (Last Frame),No Guaranteed Punish,Up Tilt (Last Frame),F Smash,Shield Grab,C,Move is -40 on shield. F Smash comes out on frame 31.,1.1
Pyra,Captain Falcon,Down B (Ground Late Hit),Captain Falcon Down B (Ground Late Hit),-37,37,31,12,4,8,1,12,F Smash,Dair/Dtilt,Ftilt/Down Smash,Up Smash,Ftilt/Down Smash,Up Smash,Dair/Dtilt,F Smash,D,Move is -37 on shield. F Smash comes out on frame 31.,1.1
Pyra,Captain Falcon,Down B (Air),Captain Falcon Down B (Air),-25,25,25,9,12,5,2,12,Side B,Dash Attack,No Guaranteed Punish,Dair/Dtilt,Side B,Dash Attack,Dair/Dtilt,No Guaranteed Punish,A,Move is -25 on shield. Side B comes out on frame 25.,1.1
Pyra,Jigglypuff,Jab (2nd Hit),Jigglypuff Jab (2nd Hit),-7,7,0,1,2,6,4,12,No Guaranteed Punish,Dair/Dtilt,Up B,Side B,No Guaranteed Punish,Side B,Up B,Dair/Dtilt,A,Move is -7 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Jigglypuff,Ftilt,Jigglypuff Ftilt,-7,7,0,1,10,6,9,12,No Guaranteed Punish,Dash Attack,Dair/Dtilt,Up Tilt (Last Frame),Up Tilt (Last Frame),Dair/Dtilt,Dash Attack,No Guaranteed Punish,D,Move is -7 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Jigglypuff,Up Tilt,Jigglypuff Up Tilt,-6,6,0,1,3,12,5,12,No Guaranteed Punish,F Smash,Ftilt/Down Smash,Up Tilt (Last Frame),No Guaranteed Punish,Ftilt/Down Smash,F Smash,Up Tilt (Last Frame),A,Move is -6 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Jigglypuff,Down Tilt,Jigglypuff Down Tilt,-10,10,0,1,8,11,4,12,No Guaranteed Punish,Nair/Fair/Jab,Neutral B,Up Smash,No Guaranteed Punish,Neutral B,Nair/Fair/Jab,Up Smash,A,Move is -10 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Pyra,Jigglypuff,Dash Attack (Early Hit),Jigglypuff Dash Attack (Early Hit),-22,22,20,6,9,4,2,12,Dair/Dtilt,Up Tilt (Last Frame),Shield Grab,Ftilt/Down Smash,Dair/Dtilt,Shield Grab,Ftilt/Down Smash,Up Tilt (Last Frame),A,Move is -22 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Jigglypuff,Dash Attack (Late Hit),Jigglypuff Dash Attack (Late Hit),-23,23,23,7,10,1,2,12,Ftilt/Down Smash,Side B,Up B,Up Smash,Ftilt/Down Smash,Up B,Up Smash,Side B,A,Move is -23 on shield. Ftilt/Down Smash comes out on frame 23.,1.1
Pyra,Jigglypuff,F Smash,Jigglypuff F Smash,-22,22,20,6,8,7,2,12,Dair/Dtilt,F Smash,Dash Attack,No Guaranteed Punish,Dair/Dtilt,Dash Attack,No Guaranteed Punish,F Smash,A,Move is -22 on shield. Dair/Dtilt comes out on frame 20.,1.1
Pyra,Jigglypuff,Up Smash,Jigglypuff Up Smash,-18,18,15,5,12,2,8,12,Up Smash,Up B,Ftilt/Down Smash,F Smash,F Smash,Up B,Ftilt/Down Smash,Up Smash,D,Move is -18 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Jigglypuff,Down Smash,Jigglypuff Down Smash,-26,26,25,9,5,12,3,12,Side B,Neutral B,Up Smash,Ftilt/Down Smash,Up Smash,Ftilt/Down Smash,Neutral B,Side B,D,Move is -26 on shield. Side B comes out on frame 25.,1.1
Pyra,Jigglypuff,Side B,Jigglypuff Side B,-11,11,11,2,10,11,6,12,Shield Grab,Dair/Dtilt,Ftilt/Down Smash,Up B,Ftilt/Down Smash,Dair/Dtilt,Up B,Shield Grab,D,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Pyra,Min Min,Jab (3rd Hit),Min Min Jab (3rd Hit),-23,23,23,7,4,10,12,12,Ftilt/Down Smash,Neutral B,Dash Attack,Up Tilt (Last Frame),Up Tilt (Last Frame),Dash Attack,Neutral B,Ftilt/Down Smash,D,Move is -23 on shield. Ftilt/Down Smash comes out on frame 23.,1.1
Pyra,Min Min,Jab (Rapid Jab Finisher),Min Min Jab (Rapid Jab Finisher),-28,28,28,11,2,1,9,12,Dash Attack,Up Tilt (Last Frame),Ftilt/Down Smash,Dair/Dtilt,Up Tilt (Last Frame),Dash Attack,Ftilt/Down Smash,Dair/Dtilt,B,Move is -28 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Min Min,Up Tilt (Clean Hit),Min Min Up Tilt (Clean Hit),-31,31,31,12,2,9,7,12,F Smash,No Guaranteed Punish,Neutral B,Up Tilt (Last Frame),F Smash,Up Tilt (Last Frame),No Guaranteed Punish,Neutral B,A,Move is -31 on shield. F Smash comes out on frame 31.,1.1
Pyra,Min Min,Down Tilt (Early Hit),Min Min Down Tilt (Early Hit),-18,18,15,5,6,1,7,12,Up Smash,Shield Grab,Ftilt/Down Smash,No Guaranteed Punish,Up Smash,No Guaranteed Punish,Ftilt/Down Smash,Shield Grab,A,Move is -18 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Min Min,Down Tilt (Late Hit),Min Min Down Tilt (Late Hit),-17,17,15,5,9,2,6,12,Up Smash,Ftilt/Down Smash,Up Tilt (Last Frame),Up B,Up Tilt (Last Frame),Up Smash,Up B,Ftilt/Down Smash,B,Move is -17 on shield. Up Smash comes out on frame 15.,1.1
Pyra,Min Min,Dash Attack,Min Min Dash Attack,-23,23,23,7,5,2,12,12,Ftilt/Down Smash,Up Tilt (Last Frame),Neutral B,Nair/Fair/Jab,Neutral B,Nair/Fair/Jab,Up Tilt (Last Frame),Ftilt/Down Smash,D,Move is -23 on shield. Ftilt/Down Smash comes out on frame 23.,1.1
Pyra,Min Min,F Smash (Normal Dragon Late Hit),Min Min F Smash (Normal Dragon Late Hit),-30,30,28,11,8,2,5,12,Dash Attack,F Smash,Side B,Up Tilt (Last Frame),Side B,Up Tilt (Last Frame),Dash Attack,F Smash,C,Move is -30 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Min Min,F Smash (Powered Dragon Late Hit),Min Min F Smash (Powered Dragon Late Hit),-29,29,28,11,2,6,9,12,Dash Attack,Neutral B,Side B,Up Tilt (Last Frame),Side B,Neutral B,Dash Attack,Up Tilt (Last Frame),C,Move is -29 on shield. Dash Attack comes out on frame 28.,1.1
Pyra,Min Min,Up Smash (Far Hit),Min Min Up Smash (Far Hit),-34,34,31,12,1,5,3,12,F Smash,Neutral B,No Guaranteed Punish,Up Smash,No Guaranteed Punish,Up Smash,F Smash,Neutral B,C,Move is -34 on shield. F Smash comes out on frame 31.,1.1
Pyra,Min Min,Down Smash (Front Hit),Min Min Down Smash (Front Hit),-33,33,31,12,3,7,4,12,F Smash,Side B,Shield Grab,Dash Attack,Shield Grab,Side B,F Smash,Dash Attack,C,Move is -33 on shield. F Smash comes out on frame 31.,1.1
Pyra,Min Min,Down Smash (Back Hit),Min Min Down Smash (Back Hit),-32,32,31,12,8,5,1,12,F Smash,Up B,Up Smash,Ftilt/Down Smash,F Smash,Up B,Up Smash,Ftilt/Down Smash,A,Move is -32 on shield. F Smash comes out on frame 31.,1.1
Mythra,Mario,Jab (3rd Hit),Mario Jab (3rd Hit),-25,25,25,10,7,6,2,10,F Smash,Up Smash,Ftilt/Down Smash,Up B/Shield Grab,Ftilt/Down Smash,Up Smash,F Smash,Up B/Shield Grab,C,Move is -25 on shield. F Smash comes out on frame 25.,1.1
Mythra,Mario,Ftilt,Mario Ftilt,-13,13,13,5,10,3,6,10,Jab,Dash Attack/Neutral B,Up Smash,F Smash,Dash Attack/Neutral B,F Smash,Up Smash,Jab,D,Move is -13 on shield. Jab comes out on frame 13.,1.1
Mythra,Mario,Up Tilt,Mario Up Tilt,-18,18,16,6,9,10,8,10,Dair/Dtilt,F Smash,Nair/Fair,Dash Attack/Neutral B,Nair/Fair,F Smash,Dash Attack/Neutral B,Dair/Dtilt,D,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Mario,Down Tilt (Close Hit),Mario Down Tilt (Close Hit),-15,15,13,5,8,9,10,10,Jab,Up Tilt (Last Frame),Nair/Fair,Dair/Dtilt,Dair/Dtilt,Up Tilt (Last Frame),Jab,Nair/Fair,C,Move is -15 on shield. Jab comes out on frame 13.,1.1
Mythra,Mario,Dash Attack,Mario Dash Attack,-17,17,16,6,9,10,8,10,Dair/Dtilt,Ftilt/Down Smash,Up Tilt (Last Frame),Nair/Fair,Nair/Fair,Ftilt/Down Smash,Up Tilt (Last Frame),Dair/Dtilt,D,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Mario,F Smash (Far Hit),Mario F Smash (Far Hit),-22,22,20,8,10,1,4,10,Dash Attack/Neutral B,F Smash,Ftilt/Down Smash,No Guaranteed Punish,Ftilt/Down Smash,F Smash,No Guaranteed Punish,Dash Attack/Neutral B,D,Move is -22 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Mario,F Smash (Close Hit),Mario F Smash (Close Hit),-20,20,20,8,4,9,2,10,Dash Attack/Neutral B,F Smash,Up Tilt (Last Frame),No Guaranteed Punish,No Guaranteed Punish,Dash Attack/Neutral B,F Smash,Up Tilt (Last Frame),B,Move is -20 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Mario,Up Smash,Mario Up Smash,-20,20,20,8,3,2,5,10,Dash Attack/Neutral B,Up B/Shield Grab,F Smash,Dair/Dtilt,Up B/Shield Grab,Dair/Dtilt,F Smash,Dash Attack/Neutral B,D,Move is -20 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Mario,Down Smash (1st Hit),Mario Down Smash (1st Hit),-30,30,25,10,7,6,5,10,F Smash,Up B/Shield Grab,Dair/Dtilt,Nair/Fair,Up B/Shield Grab,Nair/Fair,Dair/Dtilt,F Smash,D,Move is -30 on shield. F Smash comes out on frame 25.,1.1
Mythra,Mario,Down Smash (2nd Hit),Mario Down Smash (2nd Hit),-20,20,20,8,2,6,10,10,Dash Attack/Neutral B,Up B/Shield Grab,Up Tilt (Last Frame),No Guaranteed Punish,Up B/Shield Grab,Dash Attack/Neutral B,Up Tilt (Last Frame),No Guaranteed Punish,B,Move is -20 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Donkey Kong,Jab (2nd Hit),Donkey Kong Jab (2nd Hit),-20,20,20,8,3,10,5,10,Dash Attack/Neutral B,Up Smash,F Smash,Ftilt/Down Smash,Up Smash,Dash Attack/Neutral B,F Smash,Ftilt/Down Smash,B,Move is -20 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Donkey Kong,Ftilt (No Angle),Donkey Kong Ftilt (No Angle),-19,19,19,7,5,3,2,10,Ftilt/Down Smash,F Smash,Up Smash,Dash Attack/Neutral B,F Smash,Up Smash,Dash Attack/Neutral B,Ftilt/Down Smash,D,Move is -19 on shield. Ftilt/Down Smash comes out on frame 19.,1.1
Mythra,Donkey Kong,Up Tilt,Donkey Kong Up Tilt,-24,24,23,9,6,1,4,10,Up Tilt (Last Frame),Up B/Shield Grab,Nair/Fair,Dair/Dtilt,Nair/Fair,Dair/Dtilt,Up B/Shield Grab,Up Tilt (Last Frame),D,Move is -24 on shield. Up Tilt (Last Frame) comes out on frame 23.,1.1
Mythra,Donkey Kong,Down Tilt,Donkey Kong Down Tilt,-11,11,11,4,10,8,1,10,Nair/Fair,No Guaranteed Punish,Up Tilt (Last Frame),Jab,Up Tilt (Last Frame),Nair/Fair,No Guaranteed Punish,Jab,B,Move is -11 on shield. Nair/Fair comes out on frame 11.,1.1
Mythra,Donkey Kong,Dash Attack,Donkey Kong Dash Attack,-13,13,13,5,8,2,6,10,Jab,Up Smash,Ftilt/Down Smash,Up B/Shield Grab,Ftilt/Down Smash,Up B/Shield Grab,Jab,Up Smash,C,Move is -13 on shield. Jab comes out on frame 13.,1.1
Mythra,Donkey Kong,F Smash (Far Hit),Donkey Kong F Smash (Far Hit),-17,17,16,6,2,9,1,10,Dair/Dtilt,Up Tilt (Last Frame),F Smash,Up Smash,Up Tilt (Last Frame),F Smash,Dair/Dtilt,Up Smash,C,Move is -17 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Donkey Kong,F Smash (Close Hit),Donkey Kong F Smash (Close Hit),-18,18,16,6,4,10,7,10,Dair/Dtilt,Up Tilt (Last Frame),Jab,F Smash,Up Tilt (Last Frame),Dair/Dtilt,F Smash,Jab,B,Move is -18 on shield. Dair/Dtilt comes out on frame 16.,1.1
Mythra,Donkey Kong,Up Smash,Donkey Kong Up Smash,-22,22,20,8,5,6,3,10,Dash Attack/Neutral B,Dair/Dtilt,Ftilt/Down Smash,No Guaranteed Punish,Dair/Dtilt,Dash Attack/Neutral B,Ftilt/Down Smash,No Guaranteed Punish,B,Move is -22 on shield. Dash Attack/Neutral B comes out on frame 20.,1.1
Mythra,Donkey Kong,Down Smash,Donkey Kong Down Smash,-32,32,25,10,7,1,8,10,F Smash,Dair/Dtilt,Jab,Ftilt/Down Smash,Jab,Ftilt/Down Smash,Dair/Dtilt,F Smash,D,Move is -32 on shield. F Smash comes out on frame 25.,1.1
Mythra,Donkey Kong,Neutral B (Full Charge),Donkey Kong Neutral B (Full Charge),-19,19,19,7,4,1,9,10,Ftilt/Down Smash,Nair/Fair,Dash Attack/Neutral B,Up Smash,Up Smash,Ftilt/Down Smash,Dash Attack/Neutral B,Nair/Fair,B,Move is -19 on shield. Ftilt/Down Smash comes out on frame 19.,1.1
